State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,25/03/2025,4896,6359,5856,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,27/03/2025,5269,6429,6039,92
Karnataka,Bellary,Kottur,Maize,Hybrid/Local,FAQ,02/05/2025,2036,2348,2259,4
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,06/05/2025,6559,6559,6559,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,16/05/2025,4869,4869,4869,92
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",FAQ,06/05/2025,5356,5809,5744,123
Karnataka,Bellary,Kottur,Groundnut,Natte,FAQ,06/05/2025,2069,6029,4660,10
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,06/05/2025,5019,5811,5422,6
Karnataka,Bellary,Kottur,Jowar(Sorghum),"Jowar Hybrid",FAQ,02/05/2025,1966,2131,2088,5
Karnataka,Bellary,Kottur,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,02/05/2025,3211,3211,3211,114
Karnataka,Bellary,Kottur,"Bengal Gram(Gram)(Whole)","Average (Whole)",Local,15/07/2025,4225,4225,4225,6
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",FAQ,20/06/2025,5690,5730,5720,123
Karnataka,Bellary,Kottur,"Castor Seed","Castor seed",Local,11/07/2025,6509,6509,6509,123
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,04/06/2025,3539,3539,3539,92
Karnataka,Bellary,Kottur,"Cowpea (Lobia/Karamani)","Cowpea (Whole)",FAQ,21/06/2025,6000,6000,6000,92
Karnataka,Bellary,Sirguppa,"Dry Chillies",Guntur,FAQ,04/06/2025,8000,8000,8000,132
