State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mandya,"K.R. Pet",Copra,Copra,FAQ,02/06/2025,20500,20500,20500,129
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,01/06/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,04/06/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,10/06/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,11/06/2025,600,800,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,18/06/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",FAQ,19/06/2025,600,1000,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",Local,04/07/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",Local,06/07/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",Local,10/07/2025,600,600,600,173
Karnataka,Mandya,"K.R. Pet","Sweet Pumpkin","Sweet Pumpkin",Local,12/07/2025,500,500,500,173
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,11/06/2025,1000,1000,1000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,27/06/2025,800,1500,800,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,Local,08/07/2025,1500,1500,1500,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,Local,18/07/2025,2900,3000,3000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,Local,01/07/2025,1500,1500,1500,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,Local,10/07/2025,2000,2000,2000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,Local,13/07/2025,3000,3000,3000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,02/06/2025,2000,2000,2000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,03/06/2025,2500,2500,2500,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,04/06/2025,2500,2500,2500,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,25/06/2025,1000,1000,1000,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,FAQ,29/06/2025,900,900,900,159
Karnataka,Mandya,"K.R. Pet",Cucumbar(Kheera),Cucumbar,Local,16/07/2025,3500,3500,3500,159
Karnataka,Mandya,Srirangapattana,Paddy(Dhan)(Common),1001,FAQ,05/01/2025,2300,2425,2300,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,12/01/2025,2100,2100,2100,2
Karnataka,Mandya,Srirangapattana,Paddy(Dhan)(Common),1001,FAQ,06/01/2025,2200,2300,2300,2
Karnataka,Mandya,Srirangapattana,Paddy(Dhan)(Common),1001,FAQ,08/01/2025,1900,2300,2300,2
Karnataka,Mandya,"K.R. Pet",Paddy(Dhan)(Common),"Paddy Coarse",FAQ,22/01/2025,2000,2000,2000,2
Karnataka,Mandya,Malavalli,Paddy(Dhan)(Common),Paddy,FAQ,17/01/2025,2300,2600,2500,2
Karnataka,Mandya,Nagamangala,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","Ref grade-1",30/01/2025,8500,8500,8500,8
Karnataka,Mandya,Nagamangala,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,27/01/2025,9000,9000,9000,11
Karnataka,Mandya,"K.R. Pet",Maize,Local,FAQ,11/01/2025,2000,2000,2000,4
Karnataka,Mandya,"K.R. Pet",Maize,Local,FAQ,13/01/2025,2000,2000,2000,4
Karnataka,Mandya,Malavalli,Maize,Hybrid/Local,FAQ,03/01/2025,2300,2500,2400,4
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,03/01/2025,1000,1000,1000,78
Karnataka,Mandya,"K.R. Pet",Tomato,Tomato,FAQ,06/01/2025,1000,1000,1000,78
