State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,17/02/2025,4869,6453,5558,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,22/02/2025,4630,6429,5519,10
Karnataka,Yadgiri,Yadgir,Groundnut,"Big (With Shell)",FAQ,28/02/2025,4889,6392,5623,10
Karnataka,Yadgiri,Yadgir,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,22/02/2025,7899,8039,7979,9
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,12/02/2025,5829,6279,6132,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",01/02/2025,5539,5959,5816,6
Karnataka,Yadgiri,Yadgir,"Bengal Gram(Gram)(Whole)","Average (Whole)","Ref grade-1",04/02/2025,5712,6131,5997,6
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,12/02/2025,5601,7414,6936,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)","Arhar Dal(Tur)",FAQ,24/02/2025,6169,7041,6490,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,10/02/2025,6769,7851,7224,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,14/02/2025,6399,7749,7226,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,15/02/2025,6811,7769,7174,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,"Ref grade-1",03/02/2025,6569,7586,6939,49
Karnataka,Yadgiri,Yadgir,"Arhar (Tur/Red Gram)(Whole)",Red,FAQ,01/03/2025,6569,7999,7060,49
